Show #,date,location,venue,setlist
84,"November 18, 1991"," Columbus, OH",Veterans Memorial Auditorium,"['Even Flow', 'Once', 'Alive', 'Deep', 'Why Go', 'Porch']"
85,"November 20, 1991"," Kalamazoo, MI",Kalamazoo State Theatre,"['Black', 'Even Flow', 'Once', 'Alive', 'Deep']"
86,"November 21, 1991"," Ann Arbor, MI",Bling Pig,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', 'Funky Crime', 'Window Paine', 'Porch', ""I've Got a Feeling"", 'Outshined', 'Oceans']"
87,"November 22, 1991"," Detroit, MI",State Theatre,"['Release', 'Even Flow', 'Once', 'Alive', 'Jeremy', 'Why Go', 'Porch']"
88,"November 23, 1991"," Detroit, MI",State Theatre,"['Black', 'Once', 'Even Flow', 'Alive', 'Deep', 'Why Go', 'Porch']"
89,"November 24, 1991"," Indianapolis, IN",Convention Center,"['Wash', 'Once', 'Even Flow', 'Alive', 'Jeremy', 'Why Go', 'Porch']"
90,"November 26, 1991"," Normal, IL",Braden Auditorium,"['Why Go', 'Deep', 'Alive']"
91,"November 27, 1991"," Cincinnati, OH",Cincinnati Gardens,"['Release', 'Even Flow', 'Why Go', 'Alive', 'Jeremy', 'Once', 'Porch']"
92,"November 29, 1991"," Chicago, IL",Aragon Ballrom,"['Release', 'Even Flow', 'Smells Like Teen Spirit', 'Once', 'Alive', 'Jeremy', 'Why Go', 'Porch']"
93,"November 30, 1991"," St. Paul, MN",Roy Wilkins Auditorium,['No setlist information available...']
94,"December 2, 1991"," St. Louis, MO",The American Theater,['No setlist information available...']
95,"December 3, 1991"," St. Louis, MO",The American Theater,['No setlist information available...']
96,"December 4, 1991"," Kansas City, KS",Memorial Hall,['No setlist information available...']
97,"December 6, 1991"," New Orleans, LA",State Palace Theater,['Porch']
98,"December 7, 1991"," Houston, TX",Unicorn Ballroom,"['Alive', 'Jeremy', 'Why Go', 'Porch']"
99,"December 8, 1991"," Houston, TX",City Coliseum,['No setlist information available...']
100,"December 10, 1991"," Austin, TX",Vatican,['Even Flow']
